,language,total_files,db_total_files,fiction_files,db_fiction_files,non.fiction_files,db_non_fiction_files,conversation_files,db_conversation_files,professional_files,db_professional_files,grammar_files,db_grammar_files,fiction_lines,db_fiction_lines,non.fiction_lines,db_non_fiction_lines,conversation_lines,db_conversation_lines,professional_lines,db_professional_lines,grammar_lines,db_grammar_lines,total_lines,db_total_lines,delta_total_lines
14,Burushaski_bsk,1,1,0,NA,0,NA,0,NA,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,91,54,91,54,37
15,CanelaKraho_ram,1,1,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,467,465,0,NA,0,NA,0,NA,467,465,2
16,Chamorro_cha,2,2,0,NA,1,1,0,NA,1,1,0,NA,0,NA,7925,7924,0,NA,212,92,0,NA,8137,8016,121
17,Chukchi_ckt,1,1,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,1151,1144,0,NA,0,NA,0,NA,1151,1144,7
18,Cree_Plains_crk,1,NA,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,10,NA,0,NA,0,NA,0,NA,10,NA,NA
19,Daga_dgz,1,1,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,7954,7856,0,NA,0,NA,0,NA,7954,7856,98
20,Dani_LowerGrandValley_dni,1,1,0,NA,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,23,22,0,NA,0,NA,23,22,1
21,English_eng,1384,1384,117,117,1266,1266,0,NA,1,1,0,NA,505424,494919,879973,880236,0,NA,212,92,0,NA,1385609,1375247,10362
22,Fijian_fij,2,2,0,NA,1,1,0,NA,1,1,0,NA,0,NA,7917,7916,0,NA,217,96,0,NA,8134,8012,122
23,Finnish_fin,2575,2575,161,161,2413,2413,0,NA,1,1,0,NA,653165,653116,1257064,1257011,0,NA,216,96,0,NA,1910445,1910223,222
24,French_fra,1338,1338,126,126,1211,1211,0,NA,1,1,0,NA,531960,531889,794119,794134,0,NA,211,91,0,NA,1326290,1326114,176
25,Georgian_kat,218,218,0,NA,217,217,0,NA,1,1,0,NA,0,NA,156707,156696,0,NA,211,91,0,NA,156918,156787,131
26,German_deu,1631,1631,152,152,1478,1478,0,NA,1,1,0,NA,629526,626298,890670,890679,0,NA,213,92,0,NA,1520409,1517069,3340
27,Gooniyandi_gni,1,1,0,NA,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,20,19,0,NA,0,NA,20,19,1
28,Greek_Modern_ell,1587,1587,165,165,1420,1420,0,NA,2,2,0,NA,540378,540205,932823,932832,0,NA,426,184,0,NA,1473627,1473221,406
29,Greenlandic_West_kal,2,2,0,NA,1,1,0,NA,1,1,0,NA,0,NA,6287,6286,0,NA,211,91,0,NA,6498,6377,121
30,Guarani_gug,2,2,0,NA,1,1,0,NA,1,1,0,NA,0,NA,7897,7896,0,NA,203,83,0,NA,8100,7979,121
31,Hausa_hau,3,3,0,NA,1,1,0,NA,2,2,0,NA,0,NA,7931,7931,0,NA,422,182,0,NA,8353,8113,240
32,Hebrew_Modern_heb,1636,1636,5,5,1630,1630,0,NA,1,1,0,NA,8734,8733,988620,988784,0,NA,209,89,0,NA,997563,997606,43
33,Hindi_hin,73,73,0,NA,72,72,0,NA,1,1,0,NA,0,NA,137594,137416,0,NA,215,94,0,NA,137809,137510,299
34,Hixkaryana_hix,1,1,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,1203,1203,0,NA,0,NA,0,NA,1203,1203,0
35,HmongNjua_hnj,1,1,0,NA,0,NA,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,211,91,0,NA,211,91,120
36,Imonda_imn,1,1,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,52,51,0,NA,0,NA,0,NA,52,51,1
37,Indonesian_ind,1227,1227,0,NA,1226,1226,0,NA,1,1,0,NA,0,NA,1081196,1081617,0,NA,212,92,0,NA,1081408,1081709,301
38,Jakaltek_jac,1,1,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,7958,7918,0,NA,0,NA,0,NA,7958,7918,40
39,Japanese_jpn,1068,1068,25,25,1042,1042,0,NA,1,1,0,NA,23016,23015,833657,833667,0,NA,212,91,0,NA,856885,856773,112
40,Kannada_kan,1,1,0,NA,0,NA,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,209,89,0,NA,209,89,120
41,Karok_kyh,1,1,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,48,47,0,NA,0,NA,0,NA,48,47,1
42,Kayardild_gyd,1,1,0,NA,0,NA,0,NA,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,6,5,6,5,1
43,Kewa_kew,1,1,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,9448,9393,0,NA,0,NA,0,NA,9448,9393,55
44,Khalkha_khk,2,2,0,NA,1,1,0,NA,1,1,0,NA,0,NA,7933,7932,0,NA,210,90,0,NA,8143,8022,121
45,Khoekhoe_naq,1,1,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,7958,7956,0,NA,0,NA,0,NA,7958,7956,2
46,Kiowa_kio,1,1,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,15,13,0,NA,0,NA,0,NA,15,13,2
47,Korean_kor,854,854,0,NA,853,853,0,NA,1,1,0,NA,0,NA,799184,799261,0,NA,212,92,0,NA,799396,799353,43
48,Kutenai_kut,1,1,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,11,10,0,NA,0,NA,0,NA,11,10,1
49,Lango_laj,1,1,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,7958,7958,0,NA,0,NA,0,NA,7958,7958,0
50,Lavukaleve_lvk,2,2,0,NA,2,2,0,NA,0,NA,0,NA,0,NA,232,226,0,NA,0,NA,0,NA,232,226,6
51,Luvale_lue,1,1,0,NA,0,NA,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,210,90,0,NA,210,90,120
52,Makah_myh,5,5,0,NA,2,2,3,3,0,NA,0,NA,0,NA,5,3,49,46,0,NA,0,NA,54,49,5
53,Malagasy_plt,2,2,0,NA,1,1,0,NA,1,1,0,NA,0,NA,31454,31385,0,NA,206,86,0,NA,31660,31471,189
54,Mandarin_cmn,784,784,115,115,667,667,0,NA,2,2,0,NA,214841,214838,757871,758884,0,NA,426,184,0,NA,973138,973906,768
55,Mapudungun_arn,2,2,0,NA,1,1,0,NA,1,1,0,NA,0,NA,7958,7922,0,NA,316,144,0,NA,8274,8066,208
56,Martuthunira_vma,7,7,0,NA,0,NA,7,7,0,NA,0,NA,0,NA,0,NA,641,634,0,NA,0,NA,641,634,7
57,Maung_mph,1,1,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,676,598,0,NA,0,NA,0,NA,676,598,78
58,Maybrat_ayz,1,1,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,66,64,0,NA,0,NA,0,NA,66,64,2
59,Mixtec_Chalcatongo_mig,1,1,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,7958,7957,0,NA,0,NA,0,NA,7958,7957,1
60,Ngiyambaa_wyb,1,1,0,NA,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,67,5,0,NA,0,NA,67,5,62
