language,fiction_lines,non-fiction_lines,conversation_lines,professional_lines,technical_lines,grammar_lines,fiction_files,non-fiction_files,conversation_files,professional_files,technical_files,grammar_files,total_lines,total_files
Makah_myh,0,5,49,0,0,0,0,2,3,0,0,0,54,5
Malagasy_plt,0,31385,0,86,0,0,0,1,0,1,0,0,31471,2
Mandarin_cmn,214838,757871,0,184,0,0,115,667,0,2,0,0,972893,784
Mapudungun_arn,0,7922,0,144,0,0,0,1,0,1,0,0,8066,2
Martuthunira_vma,0,0,641,0,0,0,0,0,7,0,0,0,641,7
Maung_mph,0,598,0,0,0,0,0,1,0,0,0,0,598,1
Maybrat_ayz,0,65,0,0,0,0,0,1,0,0,0,0,65,1
Mixtec_Chalcatongo_mig,0,7957,0,0,0,0,0,1,0,0,0,0,7957,1
Ngiyambaa_wyb,0,0,217,0,0,0,0,0,11,0,0,0,217,11
Oromo_Harar_hae,0,7956,0,0,0,0,0,1,0,0,0,0,7956,1
Otomi_Mezquital_ote,0,68,0,91,0,309,0,2,0,1,0,1,468,4
Persian_pes,1018,996673,0,90,0,0,1,1173,0,1,0,0,997781,1175
Piraha_myp,0,744,0,0,0,0,0,1,0,0,0,0,744,1
Quechua_Imbabura_qvi,0,7786,0,0,0,0,0,1,0,0,0,0,7786,1
Rama_rma,0,37,0,0,0,128,0,1,0,0,0,1,165,2
Rapanui_rap,0,189,0,0,0,0,0,3,0,0,0,0,189,3
Russian_rus,5816,1005673,0,92,0,0,4,1581,0,1,0,0,1011581,1586
Sango_sag,0,7956,0,93,0,0,0,1,0,1,0,0,8049,2
Sanuma_xsu,0,7798,0,0,0,0,0,1,0,0,0,0,7798,1
Spanish_spa,550742,898339,0,92,0,0,119,1355,0,1,0,0,1449173,1475
Swahili_swh,0,7944,0,93,0,0,0,2,0,1,0,0,8037,3
Tagalog_tgl,108206,42692,0,96,0,0,55,44,0,1,0,0,150994,100
Thai_tha,0,816979,0,90,0,0,0,1001,0,1,0,0,817069,1002
Turkish_tur,0,1166063,0,92,0,0,0,1922,0,1,0,0,1166155,1923
Vietnamese_vie,0,721451,0,186,0,0,0,859,0,2,0,0,721637,861
Warao_wba,0,43,0,0,0,0,0,1,0,0,0,0,43,1
Wichi_mzh,0,30448,0,0,0,0,0,1,0,0,0,0,30448,1
Wichita_wic,0,0,146,0,0,0,0,0,2,0,0,0,146,2
Yagua_yad,0,7467,0,92,0,0,0,1,0,1,0,0,7559,2
Yaqui_yaq,0,7935,0,0,0,0,0,1,0,0,0,0,7935,1
Yoruba_yor,0,30767,0,90,0,0,0,1,0,1,0,0,30857,2
Zoque_Copainala_zoc,0,147,0,0,0,0,0,1,0,0,0,0,147,1
Zulu_zul,0,0,0,92,0,0,0,0,0,1,0,0,92,1
