folder_name;tokens;txt_files
Korean_kor;1714721;4139
Japanese_jpn;3437774;6896
Mandarin_cmn;3138671;3742
German_deu;5000974;7424
Greek_Modern_ell;5015870;2793
English_eng;5009290;7897
Spanish_spa;5010593;6959
Basque_eus;1883294;1561
Persian_pes;1105433;994
Finnish_fin;5009234;3573
French_fra;5020642;7517
Guarani_gug;489;7
Hausa_hau;27617;21
Hebrew_Modern_heb;1376392;2844
Hindi_hin;1296000;1262
Indonesian_ind;1024834;1063
Georgian_kat;466541;405
Greenlandic_West_kal;1056;18
Kannada_kan;643966;767
Burmese_mya;110899;279
Russian_rus;3523187;8315
Swahili_swh;2917;39
Thai_tha;1886585;1186
Tagalog_tgl;20521;52
Turkish_tur;1632344;5046
Vietnamese_vie;1374226;946
Yoruba_yor;44303;28
Zulu_zul;87820;118
Malagasy_plt;350319;245
Oromo_Harar_hae;701;6
