folder_name;tokens;txt_files
Mandarin_cmn;5030037;956
German_deu;5022889;1871
Greek_Modern_ell;5046698;191
English_eng;5078149;660
Spanish_spa;5007477;777
Finnish_fin;5038511;219
French_fra;5093612;593
Russian_rus;5004358;1005
