# language_name_wals:	Jakaltek
# language_name_glotto:	Popti'
# iso639_3:	jac
# year_composed:	NA
# year_published:	1997
# mode:	written
# genre_broad:	non-fiction
# genre_narrow:	religion
# writing_system:	Latn
# special_characters:	NA
# short_description:	The New Testament in Eastern Jacalteco. Text of the Parallel Bible Corpus: Mayer, Thomas & Michael Cysouw. 2014. Creating a Massively Parallel Bible Corpus. Proceedings of the International Conference on Language Resources and Evaluation (LREC), Reykjavik, 3158-3163.
# source:	http://www.bible.is/JACWBT/Matt/1
# copyright_short:	© Wycliffe Bible Translators1997
# copyright_long:	NA
# sample_type:	whole
# comments:	The first two digits of the identifier refer to the book, the next three digits to the chapter, and the last three digits to the verse. See Mayer & Cysouw (2014) for a list of book identifiers.

40002002	isk'amben ebnaj : -- ¿ Baytu'wal ay hune' naj nich'an xapitzc'ahi , naj chioc isreyalo anma Israel ti' ? Jilan̈ yahilo hune' tx'umel yin̈ yetc'ulal bay chiahilo tz'ayic , ha' xin ak'ni cotxumulojan̈ tato xapitzc'a naj . Yuxin macon̈titan̈ jik'ayo cobahan̈ tet naj , ẍi ebnaj .
40002003	Yet yaben naj rey Herodes hune' tu' , caw somchacan̈ yul iswi' naj yeb sunil anma ay yul con̈ob Jerusal'en .
40002004	Yuxin yawte naj Herodes tu' ebnaj yahawil yin̈ ebnaj sacerdote Israel , yeb ebnaj cuywawom yin̈ isley naj Mois'es ; isk'amben naj tet ebnaj : -- ¿ Baytaxca tu' chipitzc'a naj Cristo ? ẍi naj .
40002005	Istak'wi ebnaj tet naj : -- Yul con̈ob Bel'en yul ismajul Judea chipitzc'a naj , yuto hac tu' yu istz'ibn̈elaxcanayo yul Yum Comam Dios yu hune' ischejab yet payat , bay chal haca' ti' :
40002006	Con̈ob Bel'en , ha' caw nich'anch'an sata hunuxa con̈ob ay yul ismajul tx'otx' Judea , yaja' caw ec'balto yelapno ye sata huntek'an con̈ob tu' , yuto ha' bey tu' chipitzc'a hune' naj yahaw . Ha' naj xin chioc tan̈eno con̈ob Israel , ẍiayoj , ẍi ebnaj .
40002007	Lahwi tu' xin , yawten naj rey Herodes ebnaj mago yin̈ ewantajil , yoc naj isk'ambeno tet ebnaj yin̈ tzet tiempohal isye isba hune' tx'umel tu' tet ebnaj .
40002008	Lahwi tu' xin ischejnito naj Herodes tu' ebnaj bey con̈ob Bel'en , yalni naj tet ebnaj : -- Asiwe bey Bel'en tu' , caw xin chek'ambe yin̈ tzet caw ye nich'an unin tu' . Lahwi yilcha naj heyu cat heyul heyalno wetan cat intopaxojan winayo inbahan tet naj , ẍi naj .
40002009	Lahwi yalni naj Herodes hune' tu' isto ebnaj . Wal hune' tx'umel yil ebnaj yin̈ yetc'ulal bay chiahilo tz'ayic babel sata ebnaj , yoc lin̈no bay ay nich'an Jes'us tu' .
40002010	Hayet yilni ebnaj hune' tx'umel tu' caw tzalacan̈ ebnaj .
40002011	Hayet yapni ebnaj xin yocto ebnaj yul n̈a . Yilni ebnaj nich'an nene' tu' yeb ismi' , yay jahno ebnaj sata nich'an nene' tu' , yalni ebnaj c'ulla tzoti' yin̈ . Lahwi tu' ishajni ebnaj isc'uwanbal , yak'ni ebnaj ch'en oro , yeb te' pom , yeb huntek'an an̈ caw xuk' sam chiyij mirra sabehal tet nich'an Jes'us tu' .
40002012	Yaja' xin hallax tet ebnaj yul iswayic tato matxa ch'ec' ebnaj yala' tet naj rey Herodes yin̈ nich'an Jes'us tu' , yuxin nan behalxa bay to ebnaj yet ispaxto ebnaj bey iscon̈ob .
40002013	Haxa yet xapaxto ebnaj mago hulic'o ilno nich'an Jes'us , isyeni isba hune' y'angel Comam Dios tet naj Jos'e yul iswayic , yalni naj 'angel tu' : -- Ahan̈wano yin̈ an̈e , ito nich'an unin ti' yeb ismi' cat hato bey Egipto . Wal haweh bey tu' masanto haninan chiwalan tawet bak'in chachmeltzohi , yuto chati naj Herodes issayomal nich'an unin ti' cat ispotx'ni naj yalni , ẍi naj 'angel tet naj Jos'e .
40002014	Lahwi tu' yahwano naj Jos'e , yinito naj nich'an Jes'us tu' , isto naj yin̈ isbel yeb ix Mar'ia bey Egipto yin̈ ak'balil .
40002015	Ha' bey tu' xin ehayo naj yeb ix masanto cam naj rey Herodes . Hac tu' yu yijnicano isba tzet halbilcano yu Comam Dios tet hune' ischejab yet payat yet istz'ibn̈encano naj haca' ti' : " Bey Egipto chiwawteti Inc'aholan , " ẍiayoj .
40002016	Hayet yilni naj rey Herodes tato matxa ec' ebnaj mago yala' tet naj yin̈ naj nich'an Jes'us , caw tit ishowal naj yuto etli ebnaj yin̈ naj yabe . Ischejni naj potx'laxo sunil niẍte winaj unin , nene' masanta niẍte yin̈ cab habil ay yul con̈ob Bel'en yeb huntek'anxa con̈ob ayco yin̈ ishoyanil , yuto hac tu' chielico istiempohal yin̈ tzet yal ebnaj mago tet naj .
40002017	Hac tu' yu yijnicano isba tzet tz'ibn̈ebilcano yu naj Jerem'ias , hune' ischejab Comam Dios yet payat bay chala :
40002018	Abelax hune' aw yul con̈ob Ram'a , caw ay ok'il yeb nimeta bisc'ulal . Ha' ton ix Raquel chiok' yin̈ej yunin , machi xin chisje ix chiak'lax isnimanbal isc'ul ix , yuto camnaxa ej yunin ix tu' , ẍiayoj .
40002019	Haxa yet xacam naj rey Herodes , isyeni isba hune' y'angel Comam Dios tet naj Jos'e yul iswayic bey Egipto , yalni naj 'angel tu' :
40002020	-- Ahan̈wanoj cat hameltzo yeb nich'an unin ti' yeb ismi' bey hacon̈ob Israel , yuto xacam ebnaj ochen potx'no camo nich'an unin ti' , ẍi naj 'angel .
40002021	Haxa yet yaben naj Jos'e hune' tu' yahwano naj , yinito naj naj nich'an Jes'us tu' yeb ismi' , ispaxti naj sat tx'otx' Israel hunelxa .
40002022	Yaja' yabelo naj tato naj Arquelao , isc'ahol naj rey Herodes tu' oc reyalo selelo bey Judea , yuxin xiw naj yapni bey tu' . Yaja' xin hallax tet naj yul iswayic yu Comam Dios tato chito naj yul ismajul Galilea .
40002023	Yet yapni naj bey tu' yehayo naj yeb ix Mar'ia yeb naj nich'an Jes'us yul con̈ob Nazaret . Hac tu' yu yijni isba tzet tz'ibn̈ebilcano yu ebnaj ischejab Comam Dios yet payat bay chala tato nazareno chihallax yin̈ Comam Jes'us .
40003001	Yet hune' tiempohal tu' xin apni naj Juan anican̈ ha' iswi' anma bey tx'otx' desierto , yul ismajul Judea .
40003002	Yalni naj tet anma apni bey tu' : -- Bejwecano hewatx'en istx'ojal , yuto yocxa Comam Dios ay yul satcan̈ yahawo teyin̈ , ẍi naj .
40003003	Ha' ton yin̈ naj Juan ti' bay yal naj Isa'ias , hune' ischejab Comam Dios yet payat , yet istz'ibn̈encano naj haca' ti' : Ay hune' naj chiawi yin̈ caw ip bey hune' tx'otx' desierto , chalni naj : " Watx'eweco heyanma yuto chihul Comam Dios Jahawil . Haca' chu istoholban̈elax hunu beh yet chihul hunu naj jahaw , hac tu' cheyute hayanma , " ẍi naj , ẍi yul Yum Comam Dios .
40003004	Wal naj Juan tu' , xil no' camello watx'ebilayo xilo isk'ap naj , tz'um no' xin ayco istx'ambalo naj . Ha' tzet chislo naj ha' ton no' niẍte nok' haca' no' lit' yeb no' cab ay xolaj telaj .
40003005	Hantan̈e xin anma yul con̈ob Jerusal'en yeb yul ismajul Judea , yebpaxo anma ayayo istila ha' niman Jord'an apni abeno tzet yal naj .
40003006	Yet chalnati anma ismul xin , cat yahcano ha' iswi' yu naj Juan yul ha' niman Jord'an .
40003007	Hayet yilni naj Juan tato tx'i'al ebnaj fariseo yeb ebnaj saduceo apni isc'atan̈ yu yah ha' iswi' , yalni naj tet ebnaj : -- Hex ti' caw haca'tan̈e heyic'al heba yeb no' laba , caw helanex hecolni heba . ¿ Mac halni teyet ta yun̈e ch'ah ha' hewi' yuxin chexcolcha tet hune' isya'tajil chati Comam Dios ?
40003008	Tato caw yeli xaheyacano sunilal istx'ojal , yilal heyenilo yu isc'ulal chewatx'e .
40003009	Tajca chetxum haca' ti' : " Han̈on̈ti'an̈ jichmaman̈ ye icham Abraham , yuxin xacon̈colchahan̈ yalan̈ isya'tajil chati' Comam Dios , tajca quexchi . Wal xin chiwalan teyet , tato choche Comam Dios chu yanico Comam huntek'an ch'en ch'en ti' yuninalo icham Abraham heseleloj .
40003010	Cawilxa yeti hune' isya'tajil chati Comam Dios , lahan haca' yet yocxa ch'en eche yich xe' hunu te te' yu istz'oc'laxayo te' . Yuxin sunil te te' mach c'ulo issatni chitzoc'laxayo te' cat isk'ojlaxto te' yul k'a' .
40003011	Yin̈ caw yeli haninti'an han̈e ha ha' chiwak'an yahbalo ha' hewi' yun̈e isyenicanilo isba tato caw yeli xahebejcano istx'ojal . Yaj ay hune' naj tzujan yul wintajan , naj tu' chiyacan̈ naj ha' hewi' , yaj yu isk'ak'al yip Comam Esp'iritu Santo . Ha' naj tu' caw ec'balcano yelapno ye naj insatajan , walinan xin caw matzet welapnojan chiwabehan , nitam int'un̈nihan isxan̈ab naj .
40003012	Naj chul tu' lahan naj haca' hunu naj chixunilo isk'al ixim trigo , nan chak' naj ixim sat , nan chak'paxo naj ixim yoj , wal ixim sat tu' chisc'ubato naj ixim yul isc'un̈a , haxa ixim yoj tu' xin chisk'ojto naj ixim xol k'a k'a' mach istan̈bal , " ẍi naj Juan tu' .
40003013	Yet hune' tiempohal tu' el Comam Jes'us bey Galilea , isto Comam isti' ha' niman Jord'an isc'atan̈ naj Juan , yu yah ha' iswi' Comam yu naj .
40003014	Wal naj Juan tu' mach chisje naj yak'a'can̈ ha' iswi' Comam . Yalni naj tet Comam : -- Machoj , wal xin ha' hawet hach yilal hawanican̈ ha' inwi'an , maẍtajach chachhul inc'atan̈an yu wanican̈an ha' hawi' , ẍi naj .
40003015	Yaja' tak'wi Comam tet naj : -- Mach chu haman̈c'on hune' ti' , wal xin yilal coyijen tzet chal Comam Dios , ẍi Comam . Hac tu' xin yu isyijen naj Juan yanican̈ ha' iswi' Comam Jes'us .
40003016	Yet lahwi yah ha' iswi' Comam tu' , yahti Comam xol ha' , yin̈n̈ena tu' ishajni isba satcan̈ . Yilni Comam yayilo Comam Esp'iritu Santo yiban̈ haca' hunu no' cuwis .
40003017	Yabelax hune' yul nuk'e satcan̈ , halni haca' ti' : -- Ha' naj ti' Inc'aholan , caw xahan ay wuhan , caw chintzalahan yin̈ naj , ẍiaytij .
40004001	Lahwi tu' yilaxto Comam Jes'us yu Comam Esp'iritu Santo bey tx'otx' desierto yu yilwelax Comam yu naj matzwalil .
40004002	Caw xin yulbal cawina tz'ayic yeb cawina ak'bal mach wa' Comam , lahwi tu' isn̈ohchacan̈ .
40004003	Yapni naj matzwalil yilweno Comam , yalni naj tet Comam : -- Ta yeli Isc'ahol Dios hawehi , hal tet huntek'an ch'en ch'en ti' meltzojabico ch'en wahil , ẍi naj .
40004004	Istak'wi Comam tet naj : -- Wal xin tz'ibn̈ebilcano yul Yum Comam Dios tato maẍn̈etaj yu tzet chicolo yuxin ay cok'inal , to yupaxo Istzoti' Comam , ẍiayoj , ẍi Comam tet naj .
