language_name_glotto,filename,source
Basque,eus_nfi_209.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_21.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_210.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_211.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_212.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_213.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_214.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_215.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_216.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_217.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_218.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_219.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_22.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_220.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_221.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_222.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_223.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_224.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_225.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_226.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_227.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_228.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_229.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_23.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_230.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_231.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
