"Grapheme","Frequency","Codepoint","UnicodeName"
"यों",13658,"U+092F, U+094B, U+0902","DEVANAGARI LETTER YA, DEVANAGARI VOWEL SIGN O, DEVANAGARI SIGN ANUSVARA"
"री",13444,"U+0930, U+0940","DEVANAGARI LETTER RA, DEVANAGARI VOWEL SIGN II"
"च",13187,"U+091A","DEVANAGARI LETTER CA"
"हैं",13080,"U+0939, U+0948, U+0902","DEVANAGARI LETTER HA, DEVANAGARI VOWEL SIGN AI, DEVANAGARI SIGN ANUSVARA"
"बा",12582,"U+092C, U+093E","DEVANAGARI LETTER BA, DEVANAGARI VOWEL SIGN AA"
"ला",12474,"U+0932, U+093E","DEVANAGARI LETTER LA, DEVANAGARI VOWEL SIGN AA"
"ई",12199,"U+0908","DEVANAGARI LETTER II"
"प्",11965,"U+092A, U+094D","DEVANAGARI LETTER PA, DEVANAGARI SIGN VIRAMA"
"श",11925,"U+0936","DEVANAGARI LETTER SHA"
";",11879,"U+003B","SEMICOLON"
"दि",11683,"U+0926, U+093F","DEVANAGARI LETTER DA, DEVANAGARI VOWEL SIGN I"
"था",11101,"U+0925, U+093E","DEVANAGARI LETTER THA, DEVANAGARI VOWEL SIGN AA"
"भी",10979,"U+092D, U+0940","DEVANAGARI LETTER BHA, DEVANAGARI VOWEL SIGN II"
"चा",10427,"U+091A, U+093E","DEVANAGARI LETTER CA, DEVANAGARI VOWEL SIGN AA"
"ट",9934,"U+091F","DEVANAGARI LETTER TTA"
"म्",9835,"U+092E, U+094D","DEVANAGARI LETTER MA, DEVANAGARI SIGN VIRAMA"
"जो",9312,"U+091C, U+094B","DEVANAGARI LETTER JA, DEVANAGARI VOWEL SIGN O"
"ही",9292,"U+0939, U+0940","DEVANAGARI LETTER HA, DEVANAGARI VOWEL SIGN II"
"पा",9288,"U+092A, U+093E","DEVANAGARI LETTER PA, DEVANAGARI VOWEL SIGN AA"
"मु",9277,"U+092E, U+0941","DEVANAGARI LETTER MA, DEVANAGARI VOWEL SIGN U"
"हु",9171,"U+0939, U+0941","DEVANAGARI LETTER HA, DEVANAGARI VOWEL SIGN U"
"ख",9056,"U+0916","DEVANAGARI LETTER KHA"
"हे",8930,"U+0939, U+0947","DEVANAGARI LETTER HA, DEVANAGARI VOWEL SIGN E"
"श्",8804,"U+0936, U+094D","DEVANAGARI LETTER SHA, DEVANAGARI SIGN VIRAMA"
"नी",8509,"U+0928, U+0940","DEVANAGARI LETTER NA, DEVANAGARI VOWEL SIGN II"
"वि",8508,"U+0935, U+093F","DEVANAGARI LETTER VA, DEVANAGARI VOWEL SIGN I"
"ये",8393,"U+092F, U+0947","DEVANAGARI LETTER YA, DEVANAGARI VOWEL SIGN E"
"!",8265,"U+0021","EXCLAMATION MARK"
"नि",8117,"U+0928, U+093F","DEVANAGARI LETTER NA, DEVANAGARI VOWEL SIGN I"
"थ",8003,"U+0925","DEVANAGARI LETTER THA"
"दा",7975,"U+0926, U+093E","DEVANAGARI LETTER DA, DEVANAGARI VOWEL SIGN AA"
"तो",7664,"U+0924, U+094B","DEVANAGARI LETTER TA, DEVANAGARI VOWEL SIGN O"
"वे",7420,"U+0935, U+0947","DEVANAGARI LETTER VA, DEVANAGARI VOWEL SIGN E"
"लो",7394,"U+0932, U+094B","DEVANAGARI LETTER LA, DEVANAGARI VOWEL SIGN O"
"ति",7341,"U+0924, U+093F","DEVANAGARI LETTER TA, DEVANAGARI VOWEL SIGN I"
"-",7275,"U+002D","HYPHEN-MINUS"
"ड़",7049,"U+0921, U+093C","DEVANAGARI LETTER DDA, DEVANAGARI SIGN NUKTA"
"सी",7023,"U+0938, U+0940","DEVANAGARI LETTER SA, DEVANAGARI VOWEL SIGN II"
"f",6940,"U+0066","LATIN SMALL LETTER F"
"ध",6843,"U+0927","DEVANAGARI LETTER DHA"
"मि",6765,"U+092E, U+093F","DEVANAGARI LETTER MA, DEVANAGARI VOWEL SIGN I"
"गे",6561,"U+0917, U+0947","DEVANAGARI LETTER GA, DEVANAGARI VOWEL SIGN E"
"झे",6524,"U+091D, U+0947","DEVANAGARI LETTER JHA, DEVANAGARI VOWEL SIGN E"
"द्",6481,"U+0926, U+094D","DEVANAGARI LETTER DA, DEVANAGARI SIGN VIRAMA"
"ओ",6470,"U+0913","DEVANAGARI LETTER O"
"भ",6244,"U+092D","DEVANAGARI LETTER BHA"
"ती",6181,"U+0924, U+0940","DEVANAGARI LETTER TA, DEVANAGARI VOWEL SIGN II"
"कु",5829,"U+0915, U+0941","DEVANAGARI LETTER KA, DEVANAGARI VOWEL SIGN U"
"छ",5632,"U+091B","DEVANAGARI LETTER CHA"
"पु",5600,"U+092A, U+0941","DEVANAGARI LETTER PA, DEVANAGARI VOWEL SIGN U"
"खा",5491,"U+0916, U+093E","DEVANAGARI LETTER KHA, DEVANAGARI VOWEL SIGN AA"
"रो",5482,"U+0930, U+094B","DEVANAGARI LETTER RA, DEVANAGARI VOWEL SIGN O"
"जि",5350,"U+091C, U+093F","DEVANAGARI LETTER JA, DEVANAGARI VOWEL SIGN I"
"सु",5191,"U+0938, U+0941","DEVANAGARI LETTER SA, DEVANAGARI VOWEL SIGN U"
