"Grapheme","Frequency","Codepoint","UnicodeName"
"α",2753948,"U+03B1","GREEK SMALL LETTER ALPHA"
"ε",2132683,"U+03B5","GREEK SMALL LETTER EPSILON"
"ο",1968442,"U+03BF","GREEK SMALL LETTER OMICRON"
"ι",1950600,"U+03B9","GREEK SMALL LETTER IOTA"
"τ",1851581,"U+03C4","GREEK SMALL LETTER TAU"
"ν",1702300,"U+03BD","GREEK SMALL LETTER NU"
"σ",1078174,"U+03C3","GREEK SMALL LETTER SIGMA"
"ρ",1031502,"U+03C1","GREEK SMALL LETTER RHO"
"π",952790,"U+03C0","GREEK SMALL LETTER PI"
"υ",943985,"U+03C5","GREEK SMALL LETTER UPSILON"
"μ",918439,"U+03BC","GREEK SMALL LETTER MU"
".",854232,"U+002E","FULL STOP"
"ς",804349,"U+03C2","GREEK SMALL LETTER FINAL SIGMA"
"κ",794637,"U+03BA","GREEK SMALL LETTER KAPPA"
"λ",737758,"U+03BB","GREEK SMALL LETTER LAMDA"
"ί",640735,"U+03AF","GREEK SMALL LETTER IOTA WITH TONOS"
"η",634398,"U+03B7","GREEK SMALL LETTER ETA"
"ά",628334,"U+03AC","GREEK SMALL LETTER ALPHA WITH TONOS"
"ό",517698,"U+03CC","GREEK SMALL LETTER OMICRON WITH TONOS"
"έ",512645,"U+03AD","GREEK SMALL LETTER EPSILON WITH TONOS"
"ω",419851,"U+03C9","GREEK SMALL LETTER OMEGA"
"γ",389114,"U+03B3","GREEK SMALL LETTER GAMMA"
"δ",375478,"U+03B4","GREEK SMALL LETTER DELTA"
",",354010,"U+002C","COMMA"
"θ",314295,"U+03B8","GREEK SMALL LETTER THETA"
"χ",295486,"U+03C7","GREEK SMALL LETTER CHI"
"ή",264160,"U+03AE","GREEK SMALL LETTER ETA WITH TONOS"
"ύ",224555,"U+03CD","GREEK SMALL LETTER UPSILON WITH TONOS"
"ώ",194214,"U+03CE","GREEK SMALL LETTER OMEGA WITH TONOS"
"φ",189433,"U+03C6","GREEK SMALL LETTER PHI"
";",161846,"U+003B","SEMICOLON"
"β",158250,"U+03B2","GREEK SMALL LETTER BETA"
"ξ",134242,"U+03BE","GREEK SMALL LETTER XI"
"ζ",118433,"U+03B6","GREEK SMALL LETTER ZETA"
"Ε",107672,"U+0395","GREEK CAPITAL LETTER EPSILON"
