"Grapheme","Frequency","Codepoint","UnicodeName"
"फ्",1,"U+092B, U+094D","DEVANAGARI LETTER PHA, DEVANAGARI SIGN VIRAMA"
"फ़्",1,"U+095E, U+094D","DEVANAGARI LETTER FA, DEVANAGARI SIGN VIRAMA"
"ब्",1,"U+092C, U+094D","DEVANAGARI LETTER BA, DEVANAGARI SIGN VIRAMA"
"भु",1,"U+092D, U+0941","DEVANAGARI LETTER BHA, DEVANAGARI VOWEL SIGN U"
"मं",1,"U+092E, U+0902","DEVANAGARI LETTER MA, DEVANAGARI SIGN ANUSVARA"
"मै",1,"U+092E, U+0948","DEVANAGARI LETTER MA, DEVANAGARI VOWEL SIGN AI"
"मों",1,"U+092E, U+094B, U+0902","DEVANAGARI LETTER MA, DEVANAGARI VOWEL SIGN O, DEVANAGARI SIGN ANUSVARA"
"यं",1,"U+092F, U+0902","DEVANAGARI LETTER YA, DEVANAGARI SIGN ANUSVARA"
"यू",1,"U+092F, U+0942","DEVANAGARI LETTER YA, DEVANAGARI VOWEL SIGN UU"
"रां",1,"U+0930, U+093E, U+0902","DEVANAGARI LETTER RA, DEVANAGARI VOWEL SIGN AA, DEVANAGARI SIGN ANUSVARA"
"लिं",1,"U+0932, U+093F, U+0902","DEVANAGARI LETTER LA, DEVANAGARI VOWEL SIGN I, DEVANAGARI SIGN ANUSVARA"
"वृ",1,"U+0935, U+0943","DEVANAGARI LETTER VA, DEVANAGARI VOWEL SIGN VOCALIC R"
"वों",1,"U+0935, U+094B, U+0902","DEVANAGARI LETTER VA, DEVANAGARI VOWEL SIGN O, DEVANAGARI SIGN ANUSVARA"
"शां",1,"U+0936, U+093E, U+0902","DEVANAGARI LETTER SHA, DEVANAGARI VOWEL SIGN AA, DEVANAGARI SIGN ANUSVARA"
"शु",1,"U+0936, U+0941","DEVANAGARI LETTER SHA, DEVANAGARI VOWEL SIGN U"
"हैः",1,"U+0939, U+0948, U+0903","DEVANAGARI LETTER HA, DEVANAGARI VOWEL SIGN AI, DEVANAGARI SIGN VISARGA"
