"Grapheme","Frequency","Codepoint","UnicodeName"
"ยั",30111,"U+0E22, U+0E31","THAI CHARACTER YO YAK, THAI CHARACTER MAI HAN-AKAT"
"n",29105,"U+006E","LATIN SMALL LETTER N"
"รื่",28901,"U+0E23, U+0E37, U+0E48","THAI CHARACTER RO RUA, THAI CHARACTER SARA UEE, THAI CHARACTER MAI EK"
"-",28615,"U+002D","HYPHEN-MINUS"
"ท่",28442,"U+0E17, U+0E48","THAI CHARACTER THO THAHAN, THAI CHARACTER MAI EK"
"วั",27917,"U+0E27, U+0E31","THAI CHARACTER WO WAEN, THAI CHARACTER MAI HAN-AKAT"
"คื",27576,"U+0E04, U+0E37","THAI CHARACTER KHO KHWAI, THAI CHARACTER SARA UEE"
"ผู้",27331,"U+0E1C, U+0E39, U+0E49","THAI CHARACTER PHO PHUNG, THAI CHARACTER SARA UU, THAI CHARACTER MAI THO"
"t",27189,"U+0074","LATIN SMALL LETTER T"
"o",26367,"U+006F","LATIN SMALL LETTER O"
"ซ",26235,"U+0E0B","THAI CHARACTER SO SO"
"ร้",25851,"U+0E23, U+0E49","THAI CHARACTER RO RUA, THAI CHARACTER MAI THO"
"!",25396,"U+0021","EXCLAMATION MARK"
"คิ",25081,"U+0E04, U+0E34","THAI CHARACTER KHO KHWAI, THAI CHARACTER SARA I"
"ษ",24237,"U+0E29","THAI CHARACTER SO RUSI"
"วิ",24210,"U+0E27, U+0E34","THAI CHARACTER WO WAEN, THAI CHARACTER SARA I"
"นั่",23664,"U+0E19, U+0E31, U+0E48","THAI CHARACTER NO NU, THAI CHARACTER MAI HAN-AKAT, THAI CHARACTER MAI EK"
"รื",23494,"U+0E23, U+0E37","THAI CHARACTER RO RUA, THAI CHARACTER SARA UEE"
"r",23333,"U+0072","LATIN SMALL LETTER R"
"รี",22618,"U+0E23, U+0E35","THAI CHARACTER RO RUA, THAI CHARACTER SARA II"
"ดู",22476,"U+0E14, U+0E39","THAI CHARACTER DO DEK, THAI CHARACTER SARA UU"
"ก่",22457,"U+0E01, U+0E48","THAI CHARACTER KO KAI, THAI CHARACTER MAI EK"
"ทั้",22452,"U+0E17, U+0E31, U+0E49","THAI CHARACTER THO THAHAN, THAI CHARACTER MAI HAN-AKAT, THAI CHARACTER MAI THO"
"ถึ",21911,"U+0E16, U+0E36","THAI CHARACTER THO THUNG, THAI CHARACTER SARA UE"
"กิ",21850,"U+0E01, U+0E34","THAI CHARACTER KO KAI, THAI CHARACTER SARA I"
"ค์",21814,"U+0E04, U+0E4C","THAI CHARACTER KHO KHWAI, THAI CHARACTER THANTHAKHAT"
"น้",21747,"U+0E19, U+0E49","THAI CHARACTER NO NU, THAI CHARACTER MAI THO"
"i",21645,"U+0069","LATIN SMALL LETTER I"
",",21556,"U+002C","COMMA"
"ถ้",21407,"U+0E16, U+0E49","THAI CHARACTER THO THUNG, THAI CHARACTER MAI THO"
"สั",21095,"U+0E2A, U+0E31","THAI CHARACTER SO SUA, THAI CHARACTER MAI HAN-AKAT"
