"Grapheme","Frequency","Codepoint","UnicodeName"
"မြို့",5865,"U+1019, U+103C, U+102D, U+102F, U+1037","MYANMAR LETTER MA, MYANMAR CONSONANT SIGN MEDIAL RA, MYANMAR VOWEL SIGN I, MYANMAR VOWEL SIGN U, MYANMAR SIGN DOT BELOW"
"န့်",5822,"U+1014, U+1037, U+103A","MYANMAR LETTER NA, MYANMAR SIGN DOT BELOW, MYANMAR SIGN ASAT"
"တို",5722,"U+1010, U+102D, U+102F","MYANMAR LETTER TA, MYANMAR VOWEL SIGN I, MYANMAR VOWEL SIGN U"
"လိ",5671,"U+101C, U+102D","MYANMAR LETTER LA, MYANMAR VOWEL SIGN I"
"ပြု",5477,"U+1015, U+103C, U+102F","MYANMAR LETTER PA, MYANMAR CONSONANT SIGN MEDIAL RA, MYANMAR VOWEL SIGN U"
"ပြီ",5155,"U+1015, U+103C, U+102E","MYANMAR LETTER PA, MYANMAR CONSONANT SIGN MEDIAL RA, MYANMAR VOWEL SIGN II"
"လျှ",4836,"U+101C, U+103B, U+103E","MYANMAR LETTER LA, MYANMAR CONSONANT SIGN MEDIAL YA, MYANMAR CONSONANT SIGN MEDIAL HA"
"ဆို",4833,"U+1006, U+102D, U+102F","MYANMAR LETTER CHA, MYANMAR VOWEL SIGN I, MYANMAR VOWEL SIGN U"
"မြ",4831,"U+1019, U+103C","MYANMAR LETTER MA, MYANMAR CONSONANT SIGN MEDIAL RA"
"ချ",4819,"U+1001, U+103B","MYANMAR LETTER KHA, MYANMAR CONSONANT SIGN MEDIAL YA"
"လျ",4788,"U+101C, U+103B","MYANMAR LETTER LA, MYANMAR CONSONANT SIGN MEDIAL YA"
"ကျွ",4783,"U+1000, U+103B, U+103D","MYANMAR LETTER KA, MYANMAR CONSONANT SIGN MEDIAL YA, MYANMAR CONSONANT SIGN MEDIAL WA"
"မ့်",4630,"U+1019, U+1037, U+103A","MYANMAR LETTER MA, MYANMAR SIGN DOT BELOW, MYANMAR SIGN ASAT"
"၎",4493,"U+104E","MYANMAR SYMBOL AFOREMENTIONED"
"သွ",4422,"U+101E, U+103D","MYANMAR LETTER SA, MYANMAR CONSONANT SIGN MEDIAL WA"
"တွ",4327,"U+1010, U+103D","MYANMAR LETTER TA, MYANMAR CONSONANT SIGN MEDIAL WA"
"ဒ",4225,"U+1012","MYANMAR LETTER DA"
"ကေ",4150,"U+1000, U+1031","MYANMAR LETTER KA, MYANMAR VOWEL SIGN E"
"ခံ",4042,"U+1001, U+1036","MYANMAR LETTER KHA, MYANMAR SIGN ANUSVARA"
"ာ့",4019,"U+102C, U+1037","MYANMAR VOWEL SIGN AA, MYANMAR SIGN DOT BELOW"
"ကြီ",3863,"U+1000, U+103C, U+102E","MYANMAR LETTER KA, MYANMAR CONSONANT SIGN MEDIAL RA, MYANMAR VOWEL SIGN II"
"ငှ",3831,"U+1004, U+103E","MYANMAR LETTER NGA, MYANMAR CONSONANT SIGN MEDIAL HA"
"ဖ",3829,"U+1016","MYANMAR LETTER PHA"
"ဉ်",3629,"U+1009, U+103A","MYANMAR LETTER NYA, MYANMAR SIGN ASAT"
"ါ်",3587,"U+102B, U+103A","MYANMAR VOWEL SIGN TALL AA, MYANMAR SIGN ASAT"
"ါ့",3527,"U+102B, U+1037","MYANMAR VOWEL SIGN TALL AA, MYANMAR SIGN DOT BELOW"
"သိ",3468,"U+101E, U+102D","MYANMAR LETTER SA, MYANMAR VOWEL SIGN I"
"မျှ",3434,"U+1019, U+103B, U+103E","MYANMAR LETTER MA, MYANMAR CONSONANT SIGN MEDIAL YA, MYANMAR CONSONANT SIGN MEDIAL HA"
"မြေ",3348,"U+1019, U+103C, U+1031","MYANMAR LETTER MA, MYANMAR CONSONANT SIGN MEDIAL RA, MYANMAR VOWEL SIGN E"
"ည",3310,"U+100A","MYANMAR LETTER NNYA"
"ပြေ",3227,"U+1015, U+103C, U+1031","MYANMAR LETTER PA, MYANMAR CONSONANT SIGN MEDIAL RA, MYANMAR VOWEL SIGN E"
"လု",3160,"U+101C, U+102F","MYANMAR LETTER LA, MYANMAR VOWEL SIGN U"
"ဣ",3123,"U+1023","MYANMAR LETTER I"
"မေ",3094,"U+1019, U+1031","MYANMAR LETTER MA, MYANMAR VOWEL SIGN E"
"ည့်",3060,"U+100A, U+1037, U+103A","MYANMAR LETTER NNYA, MYANMAR SIGN DOT BELOW, MYANMAR SIGN ASAT"
"မှု",3036,"U+1019, U+103E, U+102F","MYANMAR LETTER MA, MYANMAR CONSONANT SIGN MEDIAL HA, MYANMAR VOWEL SIGN U"
"ရှေ",3018,"U+101B, U+103E, U+1031","MYANMAR LETTER RA, MYANMAR CONSONANT SIGN MEDIAL HA, MYANMAR VOWEL SIGN E"
"လို",3007,"U+101C, U+102D, U+102F","MYANMAR LETTER LA, MYANMAR VOWEL SIGN I, MYANMAR VOWEL SIGN U"
"န်ု",2978,"U+1014, U+103A, U+102F","MYANMAR LETTER NA, MYANMAR SIGN ASAT, MYANMAR VOWEL SIGN U"
"ကျ",2835,"U+1000, U+103B","MYANMAR LETTER KA, MYANMAR CONSONANT SIGN MEDIAL YA"
"ရိ",2671,"U+101B, U+102D","MYANMAR LETTER RA, MYANMAR VOWEL SIGN I"
"စွ",2654,"U+1005, U+103D","MYANMAR LETTER CA, MYANMAR CONSONANT SIGN MEDIAL WA"
"ဆေ",2648,"U+1006, U+1031","MYANMAR LETTER CHA, MYANMAR VOWEL SIGN E"
"ရု",2629,"U+101B, U+102F","MYANMAR LETTER RA, MYANMAR VOWEL SIGN U"
"လုံ",2575,"U+101C, U+102F, U+1036","MYANMAR LETTER LA, MYANMAR VOWEL SIGN U, MYANMAR SIGN ANUSVARA"
"ရှု",2517,"U+101B, U+103E, U+102F","MYANMAR LETTER RA, MYANMAR CONSONANT SIGN MEDIAL HA, MYANMAR VOWEL SIGN U"
"ဗ",2507,"U+1017","MYANMAR LETTER BA"
