"Grapheme","Frequency","Codepoint","UnicodeName"
"ץ̈",1,"U+05E5, U+0308","HEBREW LETTER FINAL TSADI, COMBINING DIAERESIS"
"צְ",1,"U+05E6, U+05B0","HEBREW LETTER TSADI, HEBREW POINT SHEVA"
"צִּ",1,"U+05E6, U+05BC, U+05B4","HEBREW LETTER TSADI, HEBREW POINT DAGESH OR MAPIQ, HEBREW POINT HIRIQ"
"קֵ",1,"U+05E7, U+05B5","HEBREW LETTER QOF, HEBREW POINT TSERE"
"קֶ",1,"U+05E7, U+05B6","HEBREW LETTER QOF, HEBREW POINT SEGOL"
"קָ",1,"U+05E7, U+05B8","HEBREW LETTER QOF, HEBREW POINT QAMATS"
"רְ",1,"U+05E8, U+05B0","HEBREW LETTER RESH, HEBREW POINT SHEVA"
"רֻ",1,"U+05E8, U+05BB","HEBREW LETTER RESH, HEBREW POINT QUBUTS"
"שִ",1,"U+05E9, U+05B4","HEBREW LETTER SHIN, HEBREW POINT HIRIQ"
"שָ",1,"U+05E9, U+05B8","HEBREW LETTER SHIN, HEBREW POINT QAMATS"
"שְׂ",1,"U+05E9, U+05C2, U+05B0","HEBREW LETTER SHIN, HEBREW POINT SIN DOT, HEBREW POINT SHEVA"
"שִׂ",1,"U+05E9, U+05C2, U+05B4","HEBREW LETTER SHIN, HEBREW POINT SIN DOT, HEBREW POINT HIRIQ"
"שָׂ",1,"U+05E9, U+05C2, U+05B8","HEBREW LETTER SHIN, HEBREW POINT SIN DOT, HEBREW POINT QAMATS"
"שְׁ",1,"U+05E9, U+05C1, U+05B0","HEBREW LETTER SHIN, HEBREW POINT SHIN DOT, HEBREW POINT SHEVA"
"שַּׁ",1,"U+05E9, U+05C1, U+05BC, U+05B7","HEBREW LETTER SHIN, HEBREW POINT SHIN DOT, HEBREW POINT DAGESH OR MAPIQ, HEBREW POINT PATAH"
"ת̇",1,"U+05EA, U+0307","HEBREW LETTER TAV, COMBINING DOT ABOVE"
"תְ",1,"U+05EA, U+05B0","HEBREW LETTER TAV, HEBREW POINT SHEVA"
"תְּ",1,"U+05EA, U+05BC, U+05B0","HEBREW LETTER TAV, HEBREW POINT DAGESH OR MAPIQ, HEBREW POINT SHEVA"
"",1,"U+F038","<private use area-F038>"
"",1,"U+F0C4","<private use area-F0C4>"
