"Grapheme","Frequency","Codepoint","UnicodeName"
"幺",1,"U+5E7A","CJK UNIFIED IDEOGRAPH-5E7A"
"庐",1,"U+5E90","CJK UNIFIED IDEOGRAPH-5E90"
"庑",1,"U+5E91","CJK UNIFIED IDEOGRAPH-5E91"
"庞",1,"U+5E9E","CJK UNIFIED IDEOGRAPH-5E9E"
"庤",1,"U+5EA4","CJK UNIFIED IDEOGRAPH-5EA4"
"庮",1,"U+5EAE","CJK UNIFIED IDEOGRAPH-5EAE"
"庰",1,"U+5EB0","CJK UNIFIED IDEOGRAPH-5EB0"
"廪",1,"U+5EEA","CJK UNIFIED IDEOGRAPH-5EEA"
"弸",1,"U+5F38","CJK UNIFIED IDEOGRAPH-5F38"
"彋",1,"U+5F4B","CJK UNIFIED IDEOGRAPH-5F4B"
"彍",1,"U+5F4D","CJK UNIFIED IDEOGRAPH-5F4D"
"彞",1,"U+5F5E","CJK UNIFIED IDEOGRAPH-5F5E"
"彡",1,"U+5F61","CJK UNIFIED IDEOGRAPH-5F61"
"徥",1,"U+5FA5","CJK UNIFIED IDEOGRAPH-5FA5"
"徯",1,"U+5FAF","CJK UNIFIED IDEOGRAPH-5FAF"
"忐",1,"U+5FD0","CJK UNIFIED IDEOGRAPH-5FD0"
"忑",1,"U+5FD1","CJK UNIFIED IDEOGRAPH-5FD1"
"忪",1,"U+5FEA","CJK UNIFIED IDEOGRAPH-5FEA"
"忲",1,"U+5FF2","CJK UNIFIED IDEOGRAPH-5FF2"
"忸",1,"U+5FF8","CJK UNIFIED IDEOGRAPH-5FF8"
"怂",1,"U+6002","CJK UNIFIED IDEOGRAPH-6002"
"怓",1,"U+6013","CJK UNIFIED IDEOGRAPH-6013"
"怗",1,"U+6017","CJK UNIFIED IDEOGRAPH-6017"
"怚",1,"U+601A","CJK UNIFIED IDEOGRAPH-601A"
"怩",1,"U+6029","CJK UNIFIED IDEOGRAPH-6029"
"怳",1,"U+6033","CJK UNIFIED IDEOGRAPH-6033"
"怴",1,"U+6034","CJK UNIFIED IDEOGRAPH-6034"
"怼",1,"U+603C","CJK UNIFIED IDEOGRAPH-603C"
"恌",1,"U+604C","CJK UNIFIED IDEOGRAPH-604C"
"悢",1,"U+60A2","CJK UNIFIED IDEOGRAPH-60A2"
"悹",1,"U+60B9","CJK UNIFIED IDEOGRAPH-60B9"
"惝",1,"U+60DD","CJK UNIFIED IDEOGRAPH-60DD"
"慅",1,"U+6145","CJK UNIFIED IDEOGRAPH-6145"
"慉",1,"U+6149","CJK UNIFIED IDEOGRAPH-6149"
"慤",1,"U+6164","CJK UNIFIED IDEOGRAPH-6164"
"慹",1,"U+6179","CJK UNIFIED IDEOGRAPH-6179"
"慽",1,"U+617D","CJK UNIFIED IDEOGRAPH-617D"
"慿",1,"U+617F","CJK UNIFIED IDEOGRAPH-617F"
"憝",1,"U+619D","CJK UNIFIED IDEOGRAPH-619D"
"憡",1,"U+61A1","CJK UNIFIED IDEOGRAPH-61A1"
"憺",1,"U+61BA","CJK UNIFIED IDEOGRAPH-61BA"
"懀",1,"U+61C0","CJK UNIFIED IDEOGRAPH-61C0"
"懔",1,"U+61D4","CJK UNIFIED IDEOGRAPH-61D4"
"懘",1,"U+61D8","CJK UNIFIED IDEOGRAPH-61D8"
"懠",1,"U+61E0","CJK UNIFIED IDEOGRAPH-61E0"
"懻",1,"U+61FB","CJK UNIFIED IDEOGRAPH-61FB"
