"Grapheme","Frequency","Codepoint","UnicodeName"
"i",132,"U+0069","LATIN SMALL LETTER I"
"r",98,"U+0072","LATIN SMALL LETTER R"
"a",86,"U+0061","LATIN SMALL LETTER A"
"n",64,"U+006E","LATIN SMALL LETTER N"
"y",49,"U+0079","LATIN SMALL LETTER Y"
"/",43,"U+002F","SOLIDUS"
"u",41,"U+0075","LATIN SMALL LETTER U"
"↓",32,"U+2193","DOWNWARDS ARROW"
"t",29,"U+0074","LATIN SMALL LETTER T"
"l",27,"U+006C","LATIN SMALL LETTER L"
"w",26,"U+0077","LATIN SMALL LETTER W"
"g",25,"U+0067","LATIN SMALL LETTER G"
"p",25,"U+0070","LATIN SMALL LETTER P"
".",24,"U+002E","FULL STOP"
"k",22,"U+006B","LATIN SMALL LETTER K"
"j",17,"U+006A","LATIN SMALL LETTER J"
"m",15,"U+006D","LATIN SMALL LETTER M"
":",11,"U+003A","COLON"
"–",5,"U+2013","EN DASH"
"↑",4,"U+2191","UPWARDS ARROW"
