iso_639_3,glottocode,wals.code,name_glotto,name_wals,folder_name,status,family_id,top_level_family,genus_wals,family_wals,macroarea_glotto,macroarea_wals,latitude_glotto,longitude_glotto,latitude_wals,longitude_wals
hnj,hmon1264,hmo,Hmong Njua,Hmong Njua,Hmong Njua (hnj),NA,hmon1336,Hmong-Mien,Hmong-Mien,Hmong-Mien,Eurasia,Eurasia,22.5638,101.95,28,105
imn,imon1245,imo,Imonda,Imonda,Imonda (imn),NA,bord1247,Border,Border,Border,Papunesia,Papunesia,-3.31228,141.171,-3.3333333333,141.166666667
ind,indo1316,ind,Indonesian,Indonesian,Indonesian (ind),Safe,aust1307,Austronesian,Malayo-Sumbawan,Austronesian,Papunesia,Papunesia,-7.33458,109.716,0,106
jac,popt1235,jak,Popti',Jakaltek,Jakaltek (jac),NA,maya1287,Mayan,Mayan,Mayan,North America,North America,15.6609,-91.6633,15.6666666667,-91.6666666667
jpn,nucl1643,jpn,Japanese,Japanese,Japanese (jpn),Safe,japo1237,Japonic,Japanese,Japanese,Eurasia,Eurasia,35,135,37,140
kal,kala1399,grw,Kalaallisut,Greenlandic (West),Greenlandic_West (kal),Vulnerable,eski1264,Eskimo-Aleut,Eskimo,Eskimo-Aleut,Eurasia,Eurasia,69.3761,-52.864,64,-51
kan,nucl1305,knd,Kannada,Kannada,Kannada (kan),Safe,drav1251,Dravidian,Southern Dravidian,Dravidian,Eurasia,Eurasia,13.5878,76.1198,14,76
kat,nucl1302,geo,Georgian,Georgian,Georgian (kat),Safe,kart1248,Kartvelian,Kartvelian,Kartvelian,Eurasia,Eurasia,41.850397,43.78613,42,44
kew,west2599,kew,West Kewa,Kewa,Kewa (kew),NA,nucl1709,Nuclear Trans New Guinea,Engan,Trans-New Guinea,Papunesia,Papunesia,-6.32097,143.73,-6.5,143.833333333
kgo,kron1241,kro,Krongo,Krongo,Krongo (kgo),Definitely endangered,kadu1256,Kadugli-Krongo,Kadugli,Kadu,Africa,Africa,10.514,30.003,10.5,30
khk,halh1238,kha,Halh Mongolian,Khalkha,Khalkha (khk),NA,mong1329,Mongolic,Mongolic,Altaic,Eurasia,Eurasia,48.324,106.289,47,105
kio,kiow1266,kio,Kiowa,Kiowa,Kiowa (kio),Severely endangered,kiow1265,Kiowa-Tanoan,Kiowa-Tanoan,Kiowa-Tanoan,North America,North America,34.9403,-98.9042,37,-99
kjq,west2632,aco,Western Keres,Acoma,Acoma (kjq),Definitely endangered,kere1287,Keresan,Keresan,Keresan,North America,North America,34.9733,-107.517,34.9166666667,-107.583333333
kor,kore1280,kor,Korean,Korean,Korean (kor),Safe,kore1284,Koreanic,Korean,Korean,Eurasia,Eurasia,37.5,128,37.5,128
kut,kute1249,kut,Kutenai,Kutenai,Kutenai (kut),Severely endangered,,NA,Kutenai,Kutenai,North America,North America,48.7892,-115.065,49.5,-116
kyh,karo1304,krk,Karok,Karok,Karok (kyh),Severely endangered,,NA,Karok,Karok,North America,North America,41.8228,-123.315,41.6666666667,-123
