iso_639_3,glottocode,wals.code,name_glotto,name_wals,status,latitude,longitude,grammar_download,text_download,online_resources,Any_material,number_of_texts,number_of_genera,number_of_tokens
eng,stan1293,eng,English,English,Safe,53,-1,yes,,yes,yes,4,2,1500000
deu,stan1295,ger,German,German,Safe,48.649,12.4676,yes,,yes,yes,5,2,1000000
ell,mode1248,grk,Modern Greek,Greek (Modern),Safe,42.3224,24.8699,yes,,yes,yes,4,2,1000000
ind,indo1316,ind,Indonesian,Indonesian,Safe,-7.33458,109.716,yes,,yes,yes,3,2,1000000
fin,finn1318,fin,Finnish,Finnish,Safe,64.7628,25.5577,yes,,yes,yes,3,2,600000
fra,stan1290,fre,French,French,Safe,48,2,yes,,yes,yes,3,2,600000
hin,hind1269,hin,Hindi,Hindi,Safe,25,77,yes,,yes,yes,3,2,600000
spa,stan1288,spa,Spanish,Spanish,Safe,40.4414,-1.11788,yes,,yes,yes,2,2,600000
tha,thai1261,tha,Thai,Thai,Safe,14.192,100.671,yes,,yes,yes,3,2,600000
vie,viet1252,vie,Vietnamese,Vietnamese,Safe,20.681188,105.774071,yes,,yes,yes,4,2,600000
cha,cham1312,cha,Chamorro,Chamorro,Vulnerable,13.438011,144.74474,yes,,yes,yes,3,2,500000
mya,nucl1310,brm,Burmese,Burmese,Safe,20.7926,93.9665,yes,,yes,yes,3,2,350000
plt,plat1254,mal,Plateau Malagasy,Malagasy,NA,-19.5907,47.1211,yes,,yes,yes,3,2,350000
rus,russ1263,rus,Russian,Russian,Safe,59,50,yes,,yes,yes,3,2,350000
tgl,taga1270,tag,Tagalog,Tagalog,Safe,14.06,121.747,yes,,yes,yes,3,2,330000
kor,kore1280,kor,Korean,Korean,Safe,37.5,128,yes,,yes,yes,2,2,300000
mzh,wich1264,wch,WichÃ­ LhamtÃ©s GÃ¼isnay,Wichí,Vulnerable,-23.1633,-62.1757,yes,yes,yes,yes,1,1,300000
tur,nucl1301,tur,Turkish,Turkish,Safe,39.8667,32.8667,yes,,yes,yes,2,2,300000
yor,yoru1245,yor,Yoruba,Yoruba,NA,7.15345,3.67225,yes,,yes,yes,2,2,300000
aey,amel1241,ame,Amele,Amele,NA,-5.29126,145.687,yes,yes,,yes,1,1,250000
amp,alam1246,ala,Alamblak,Alamblak,NA,-4.66307,143.316,yes,yes,yes,yes,1,1,250000
ape,buki1249,arp,Bukiyip,Arapesh (Mountain),NA,-3.47169,143.111,yes,,yes,yes,1,1,250000
apu,apur1254,apu,ApurinÃ£,Apurinã,Definitely endangered,-8.21692,-66.7714,yes,yes,(yes),yes,1,1,250000
arn,mapu1245,map,Mapudungun,Mapudungun,Severely endangered,-38.7392,-71.277,yes,yes,yes,yes,2,2,250000
arz,egyp1253,aeg,Egyptian Arabic,Arabic (Egyptian),Safe,31,31,yes,,yes,yes,1,1,250000
bsn,bara1380,brs,Barasana-Eduria,Barasano,Severely endangered,0.02193,-70.808,yes,,yes,yes,1,1,250000
dgz,daga1275,dag,Daga,Daga,NA,-9.9747,149.263,yes,,yes,yes,1,1,200000
eus,basq1248,bsq,Basque,Basque,Vulnerable,43.2787,-1.31622,yes,,yes,yes,3,2,50000
pes,west2369,prs,Western Farsi,Persian,Safe,28.6593,55.1586,yes,,yes,yes,3,2,50000
hix,hixk1239,hix,HixkaryÃ¡na,Hixkaryana,Vulnerable,-0.16265,-58.80153,yes,yes,(yes),yes,1,1,48000
hau,haus1257,hau,Hausa,Hausa,NA,11.1513,8.7804,yes,,yes,yes,2,2,30000
kew,west2599,kew,West Kewa,Kewa,NA,-6.32097,143.73,yes,yes,(yes),yes,1,1,30000
fij,fiji1243,fij,Fijian,Fijian,NA,-18,178.33,yes,,yes,yes,2,2,25000
gug,para1311,gua,Paraguayan GuaranÃ­,Guaraní,NA,-25.60551,-57.08816,yes,,yes,yes,2,2,25000
hae,east2652,orh,Eastern Oromo,Oromo (Harar),NA,8.67428,41.4395,yes,,yes,yes,1,1,25000
jac,popt1235,jak,Popti',Jakaltek,NA,15.6609,-91.6633,yes,,yes,yes,1,1,25000
sag,sang1328,san,Sango,Sango,NA,6.78584,20.1702,yes,,yes,yes,2,2,25000
swh,swah1253,swa,Swahili,Swahili,Safe,-8.25605,37.624,yes,,yes,yes,2,2,25000
xsu,sanu1240,snm,SanumÃ¡,Sanuma,Vulnerable,1.31875,-67.6498,yes,,yes,yes,1,1,25000
yad,yagu1244,yag,Yagua,Yagua,Definitely endangered,-3.42913,-72.2186,yes,,yes,yes,2,2,25000
yaq,yaqu1251,yaq,Yaqui,Yaqui,Vulnerable,29.9446,-110.681,yes,yes,,yes,1,1,25000
ckt,chuk1273,chk,Chukchi,Chukchi,Severely endangered,68.6436,170.045,yes,yes,yes,yes,1,1,20000
kal,kala1399,grw,Kalaallisut,Greenlandic (West),Vulnerable,69.3761,-52.864,yes,,yes,yes,2,2,20000
kat,nucl1302,geo,Georgian,Georgian,Safe,41.850397,43.78613,yes,,yes,yes,2,2,20000
khk,halh1238,kha,Halh Mongolian,Khalkha,NA,48.324,106.289,yes,,yes,yes,2,2,20000
laj,lang1324,lan,Lango (Uganda),Lango,NA,2.13867,33.0553,yes,yes,,yes,1,1,20000
mig,sanm1295,mxc,San Miguel El Grande Mixtec,Mixtec (Chalcatongo),NA,17.0777,-97.5432,yes,yes,,yes,1,1,20000
naq,nama1264,kho,Nama (Namibia),Khoekhoe,NA,-25.0747,17.9767,yes,,yes,yes,1,1,20000
qvi,imba1240,qim,Imbabura Highland Quichua,Quechua (Imbabura),NA,0.31776,-78.3729,yes,,yes,yes,1,1,20000
mph,maun1240,mau,Mawng,Maung,Vulnerable,-11.8393,133.185,yes,yes,(yes),yes,1,1,10000
cmn,mand1415,mnd,Mandarin Chinese,Mandarin,Safe,40.0209,116.228,yes,,yes,yes,2,1,3000
hnj,hmon1264,hmo,Hmong Njua,Hmong Njua,NA,22.5638,101.95,yes,,yes,yes,1,1,2500
kjq,west2632,aco,Western Keres,Acoma,Definitely endangered,34.9733,-107.517,yes,yes,,yes,1,1,2400
abk,abkh1244,abk,Abkhazian,Abkhaz,Vulnerable,43.056218,41.159115,yes,,yes,yes,1,1,1500
heb,hebr1245,heb,Modern Hebrew,Hebrew (Modern),Safe,31.1056,35.0179,yes,,yes,yes,1,1,1500
jpn,nucl1643,jpn,Japanese,Japanese,Safe,35,135,yes,,yes,yes,1,1,1500
kan,nucl1305,knd,Kannada,Kannada,Safe,13.5878,76.1198,yes,,yes,yes,1,1,1500
lue,luva1239,luv,Luvale,Luvale,NA,-13.5382,22.2924,yes,,yes,yes,1,1,1500
ote,mezq1235,otm,Mezquital Otomi,Otomí (Mezquital),Definitely endangered,20.2274,-99.5564,yes,,yes,yes,1,1,1500
tzm,cent2194,bma,Central Moroccan Berber,Berber (Middle Atlas),NA,32.7415,-2.40872,yes,,yes,yes,1,1,1500
zul,zulu1248,zul,Zulu,Zulu,NA,-25.3305,31.3512,yes,,yes,yes,1,1,1500
ayz,maib1239,may,Maybrat-Karon,Maybrat,NA,-1.3679,132.591,yes,yes,(yes),yes,1,1,1000
crk,plai1258,cre,Plains Cree,Cree (Plains),Vulnerable,51.2437,-110.463,yes,yes,yes,yes,1,1,400
kyh,karo1304,krk,Karok,Karok,Severely endangered,41.8228,-123.315,yes,yes,yes,yes,1,1,300
wic,wich1260,wic,Wichita,Wichita,Critically endangered,35.0665,-98.1831,yes,yes,yes,yes,1,1,250
myh,maka1318,mak,Makah,Makah,Critically endangered,48.3258,-124.616,yes,yes,,yes,5,2,200
gni,goon1238,goo,Gooniyandi,Gooniyandi,Severely endangered,-18.4073,126.351,yes,yes,,yes,1,1,100
bhq,tuka1249,tuk,Tukang Besi South,Tukang Besi,NA,-5.7478,123.948,yes,,(yes),yes,,,
bmi,bagi1246,bag,Bagirmi,Bagirmi,NA,11.52392,14.769495,yes,,,yes,,,
bsk,buru1296,bur,Burushaski,Burushaski,Vulnerable,36.2161,74.8236,yes,yes,yes,yes,,,
cku,koas1236,koa,Koasati,Koasati,Definitely endangered,30.4096,-92.709,yes,,,yes,,,
dni,lowe1415,dni,Lower Grand Valley Dani,Dani (Lower Grand Valley),NA,-4.25684,138.992,yes,,(yes),yes,,,
gry,barc1235,grb,Barclayville Grebo,Grebo,NA,4.67843,-8.09378,yes,,(yes),yes,,,
gyd,kaya1319,kay,Kayardild,Kayardild,Critically endangered,-17.0695,139.489,yes,,yes,yes,,,
imn,imon1245,imo,Imonda,Imonda,NA,-3.31228,141.171,yes,,,yes,,,
kgo,kron1241,kro,Krongo,Krongo,Definitely endangered,10.514,30.003,yes,yes,,yes,,,
kio,kiow1266,kio,Kiowa,Kiowa,Severely endangered,34.9403,-98.9042,yes,yes,yes,yes,,,
