# language_name_wals:	Khalkha
# language_name_glotto:	Halh Mongolian
# ISO_6393:	khk
# year_composed:	NA
# year_published:	2004
# mode:	written
# genre_broad:	non-fiction
# genre_narrow:	religion
# writing_system:	Latn
# special_characters:	NA
# short_description:	New Testament Portions in Halh Mongolian. Text of the Parallel Bible Corpus: Mayer, Thomas & Michael Cysouw. 2014. Creating a Massively Parallel Bible Corpus. Proceedings of the International Conference on Language Resources and Evaluation (LREC), Reykjavik, 3158-3163.
# source:	http://www.biblesos.org/mn/Abrahamyn-udam-Davidyn-udam-Yesus-Hristiin-ugiin-bichig/
# copyright_short:	NA
# copyright_long:	NA
# sample_type:	whole
# comments:	The first two digits of the identifier refer to the book, the next three digits to the chapter, and the last three digits to the verse. See Mayer & Cysouw (2014) for a list of book identifiers.

40002017	Esh uzuulegch Iyeryemiagaar damjuulan helsen ni ter tsagt biyelegdsen agaad ingehdee
40002018	« Ihed gashuudan uilah duu Ramad sonsdov . Rahyel taitgarlyg avahaas tatgalzan , Huuhduudiinhee toloo uilna . Uchir ni ted nar ni baisangui » gesen baiv .
40002019	Harin Hyerodyg nas barsny daraa Yegipyeted Ezenii tenger elch Iosyeft zuudend ni uzegdej , —
40002020	Bos , Huug ehiinh ni hamt avch , Izraili nutagt och . Huuhdiin amiig haigchid uhsen gev .
40002021	Ter bosoj Huut ehtei ni avch , Izraili nutagt irev .
40002022	Harin Arhyel etseg Hyerodynhoo orond Iudyeig haanchilj baigaag ter sonsood tiish ochihoos aijee . Burhan zuudend ni seremjluulsneer , ter Galilyn nutag uruu yavav .
40002023	Tegeed Nazar gegdeh hotod ochij suurishiv . « Nazarynh gej Tuuniig duudah bolno » gej esh uzuulegchdeer ailduulsan ni iinhuu biyelegdjee .
40003001	Ter odruuded baptism hurteegch Iohan irj , Iudyein tsold surgaal aildaj , —
40003002	Gemshitsgee ! Tengeriin haanchlal oirhon baina gej bailaa .
40003003	Yag tuunii tuhai esh uzuulegch Isaia « Tsold hashhiragch negnii duu . " Ezenii zamyg beltgetsgee , Tuunii zamyg shuluun bolgotsgoo " gene » gejee .
40003004	Iohan temeenii nooson deel omsoj , suran bus buselsen baiv . Hool huns ni tsartsaa , zerleg zogiin bal baisan aj .
40003005	Tegehed iyerusalimynhan , buh Iudyei mon Iordan haviin buh gazar nutgiinhan tuun uruu irj bailaa .
40003006	Ted nuglee ulaigaad , Iordan gold tuugeer baptism hurtej baiv .
40003007	Harin farisaichuud bolon sadukaichuudaas olon hun baptism hurteheer irj buig ter haraad , tedend — Hort mogoin udam aa , ireh uur hilengees zugt gej hen ta nart sanuulsan yum be ?
40003008	Tiim bogoos gemshild zohistoi ur jims garga .
40003009	" Abraham etseg mini bidend baina " gej oorsoddoo helj bolno hemeen buu bod . Bi ta nart heliye , Burhan ene chuluunuudaas ch Abrahamd huuhduudiig bosgoj chadna .
40003010	Moddyn undsend suh hediinee zoogdjee . Iimees sain ur jims urguuldaggui alivaa mod tsavchuulan , gald hayagdah bolno .
40003011	Minii huvid gevel , gemshliin chini toloo bi ta nart usaar baptism hurteedeg . Harin minii araas Iregch nadaas iluu huchtei bogood Tuunii shaahaig tailah ni ch nadad zohisgui . Ter ta nart Ariun Sunseer hiigeed galaar baptism hurteene .
