word,n,rank
god’s,172,468
idols,171,469
looked,171,470
judge,170,471
large,170,472
times,170,473
enter,169,474
ephraim,169,475
poor,169,476
returned,169,477
third,169,478
ancestors,168,479
command,168,480
got,168,481
part,167,482
salvation,167,483
save,167,484
knowledge,166,485
entire,163,486
gives,163,487
peter,163,488
whose,163,489
charge,162,490
border,161,491
destruction,161,492
spoken,161,493
trouble,161,494
attack,160,495
believe,160,496
cry,160,497
rejoice,160,498
doing,159,499
north,159,500
use,159,501
zion,159,502
king's,158,503
soldiers,158,504
always,157,505
gathered,157,506
most,157,507
sacrifices,157,508
tribes,157,509
entrance,156,510
hearts,156,511
heavens,156,512
money,156,513
benjamin,155,514
heads,155,515
build,154,516
child,154,517
manasseh,154,518
trees,154,519
yes,154,520
behold,153,521
fight,153,522
next,153,523
someone,153,524
think,153,525
followed,152,526
leaders,152,527
moab,152,528
south,152,529
led,151,530
loving,151,531
true,151,532
better,150,533
master,150,534
covered,149,535
fell,149,536
generation,149,537
pray,149,538
ready,149,539
received,149,540
seek,149,541
cried,148,542
john,148,543
something,148,544
clean,147,545
samuel,147,546
shame,147,547
stones,147,548
throne,147,549
book,146,550
used,146,551
waters,146,552
fifty,145,553
meeting,145,554
understanding,145,555
wind,145,556
birth,144,557
judgment,144,558
mind,144,559
sun,144,560
darkness,143,561
makes,143,562
respect,143,563
rule,143,564
continued,142,565
sight,142,566
sound,142,567
wilderness,141,568
above,140,569
pass,140,570
stay,140,571
yourselves,140,572
follow,139,573
inheritance,139,574
isaac,138,575
none,138,576
pharaoh,138,577
prayer,138,578
too,138,579
burn,137,580
cause,137,581
joab,137,582
moved,137,583
chosen,136,584
elders,136,585
angels,135,586
bless,135,587
gather,135,588
palace,135,589
crowd,134,590
gone,134,591
commandments,133,592
hold,133,593
incense,133,594
offered,133,595
since,133,596
officials,132,597
olive,132,598
broken,131,599
hezekiah,131,600
wood,131,601
lie,130,602
outside,130,603
pieces,130,604
appointed,129,605
jeremiah,129,606
once,129,607
whoever,129,608
care,128,609
happened,128,610
message,128,611
sat,128,612
sing,128,613
towns,128,614
evening,127,615
understand,127,616
carried,126,617
everlasting,126,618
horses,126,619
during,125,620
seventy,125,621
witness,125,622
captured,124,623
edom,124,624
assyria,123,625
bull,123,626
justice,123,627
samaria,123,628
enough,122,629
laid,122,630
rock,122,631
seventh,122,632
cast,121,633
copper,121,634
elisha,121,635
grace,121,636
rich,121,637
run,121,638
teach,121,639
wide,121,640
wives,121,641
whatever,120,642
buried,119,643
concerning,119,644
inhabitants,119,645
rescue,119,646
alive,118,647
spread,118,648
such,118,649
authority,117,650
forth,117,651
gilead,117,652
however,117,653
last,117,654
sabbath,117,655
wrong,117,656
alone,116,657
jonathan,116,658
promised,116,659
ate,115,660
elijah,115,661
firstborn,115,662
happen,115,663
free,114,664
houses,114,665
peoples,114,666
placed,114,667
relatives,114,668
attention,113,669
burning,113,670
desire,113,671
entered,113,672
laws,113,673
present,112,674
saved,112,675
stayed,112,676
walls,112,677
else,111,678
enemy,111,679
faithful,111,680
kind,111,681
beloved,110,682
curse,110,683
feast,110,684
fine,110,685
husband,110,686
neither,110,687
ruler,110,688
territory,110,689
bed,109,690
break,109,691
dust,109,692
top,109,693
baal,108,694
dwell,108,695
goes,108,696
property,108,697
punish,108,698
carry,107,699
orders,107,700
pure,107,701
throughout,107,702
fields,106,703
thought,106,704
animal,105,705
deep,105,706
eight,105,707
gifts,105,708
grave,105,709
midst,105,710
opened,105,711
rain,105,712
road,105,713
sister,105,714
troops,105,715
door,104,716
officers,104,717
sinned,104,718
cattle,103,719
bear,102,720
best,102,721
courtyard,102,722
fat,102,723
guard,102,724
lay,102,725
suffer,102,726
total,102,727
wild,102,728
knew,101,729
quickly,101,730
soon,101,731
arrived,100,732
false,100,733
wait,100,734
wickedness,100,735
deliver,99,736
delivered,99,737
father’s,99,738
gates,99,739
instead,99,740
lies,99,741
linen,99,742
oath,99,743
prepared,99,744
reason,99,745
rise,99,746
whether,99,747
ahab,98,748
behind,98,749
beth,98,750
lips,98,751
nebuchadnezzar,98,752
passed,98,753
sit,98,754
dry,97,755
lamb,97,756
leader,97,757
need,97,758
ruled,97,759
sake,97,760
seed,97,761
thanks,97,762
tongue,97,763
truly,97,764
disgusting,96,765
having,96,766
iron,96,767
lead,96,768
write,96,769
cover,95,770
hate,95,771
prayed,95,772
chariots,94,773
egyptians,94,774
pounds,94,775
ran,94,776
villages,94,777
watch,94,778
within,94,779
lot,93,780
beginning,92,781
favor,92,782
goats,92,783
jeroboam,92,784
raised,92,785
trust,92,786
wrath,92,787
absalom,91,788
room,91,789
anointed,90,790
blind,90,791
bow,90,792
canaan,90,793
ears,90,794
knows,90,795
lambs,90,796
lion,90,797
meet,90,798
purpose,90,799
remove,90,800
stop,90,801
wanted,90,802
bodies,89,803
buy,89,804
esau,89,805
royal,89,806
rulers,89,807
birds,88,808
bones,88,809
inner,88,810
later,88,811
messengers,88,812
myself,88,813
ram,88,814
red,88,815
small,88,816
wealth,88,817
david’s,87,818
foot,87,819
friends,87,820
hair,87,821
prison,87,822
speaks,87,823
throw,87,824
bulls,86,825
goat,86,826
hill,86,827
hour,86,828
loved,86,829
pharisees,86,830
skin,86,831
blessing,85,832
building,85,833
finished,85,834
remain,85,835
sign,85,836
taught,85,837
daniel,84,838
harvest,84,839
indeed,84,840
lifted,84,841
plant,84,842
belong,83,843
